Tempo (ms);Trajetória 1;Trajetória 2
19948;-36.5588745107902;-56.9975509997533
19972;-35.6483118355699;-56.1127457199924
20023;-34.7395084472302;-55.2256430002223
20050;-33.8296612567487;-54.3371790754112
20085;-32.9132356620395;-53.444938076719
20121;-31.9879438074557;-52.546063499517
20150;-31.05851986857;-51.6411396344238
20175;-30.1327935208445;-50.7325684131333
20219;-29.2148418611349;-49.8227867003345
20237;-28.3013907850466;-48.9149410388778
20289;-27.3860478621347;-48.0113394179323
20317;-26.4656419571391;-47.1112384788357
20352;-25.5407647815532;-46.2116609544931
20383;-24.6140962035434;-45.3093845836393
20420;-23.6881993808332;-44.4027086301322
20450;-22.761947085662;-43.4919930561252
20484;-21.8313223855393;-42.5777377237546
20513;-20.894673814803;-41.6598270435541
20546;-19.9546420109875;-40.7395258095493
20576;-19.0152543019892;-39.8187969034762
20610;-18.0785110125235;-38.896775145376
20641;-17.1435538256577;-37.9702025834385
20668;-16.2088063270383;-37.0378906718184
20716;-15.2726478384602;-36.1026366781984
20749;-14.3315769525513;-35.1690491704586
20778;-13.3830091979325;-34.2402131178745
20812;-12.4314358561075;-33.3156454216027
20839;-11.4861557840351;-32.3932433780751
20875;-10.5515994983155;-31.4732666600767
20914;-9.62411332936043;-30.5575402120575
20947;-8.6977862444823;-29.6441226922427
20975;-7.76994947443753;-28.7267469510483
21012;-6.84016882376172;-27.8016229622495
21048;-5.90577469002324;-26.8714122860743
21086;-4.96183903877884;-25.9412646735357
21111;-4.00619812338853;-25.0123141152366
21144;-3.04135166168373;-24.0795205298299
21185;-2.07026614603817;-23.1374371420139
21206;-1.09316163370851;-22.1851461510835
21245;-0.110065713698246;-21.2241325796623
21284;0.875280857743416;-20.2573934851062
21319;1.85663856393496;-19.2890789241846
21352;2.83035849149903;-18.3217385900568
21381;3.7971743131053;-17.357943723202
21411;4.75965422156776;-16.4013961306898
21451;5.71978225302576;-15.4528110143217
21478;6.6782613252047;-14.5094954600482
21506;7.63489395473828;-13.5680646380318
21538;8.58973586521477;-12.6250237293522
21571;9.54494046420669;-11.6784856309131
21613;10.5052154192971;-10.7298191520037
21642;11.4744541638037;-9.78155120168576
21673;12.4530785118588;-8.83355752575812
21705;13.4405224616778;-7.88147300374322
21738;14.4367660583633;-6.91994389624949
21776;15.4393611994208;-5.94805042369519
21833;16.4419478097647;-4.97160129097414
21865;17.4369922989638;-3.99960739351401
21886;18.4205967143373;-3.03745802297132
21912;19.3970452132373;-2.08325698488958
21946;20.3776401668898;-1.13001143707043
21988;21.3713083692029;-0.171474219135501
22019;22.3752581878166;0.792817375631707
22047;23.3736269269671;1.75566667554447
22077;24.342613057722;2.7017901398084
22108;25.2583603826849;3.60938697017705
22135;26.1040723082643;4.45624562824486
22185;26.8731506616825;5.22833741891813
22203;27.569173599712;5.92472643741609
22235;28.2023212570838;6.5542079142517
22285;28.7818086556772;7.12604803696644
22310;29.3106743045998;7.6435633453512
22350;29.7865660850674;8.10474899614533
22381;30.2050286573444;8.50666936460616
22418;30.5633363995008;8.84965978121129
22457;30.8637105934911;9.1379955416448
22481;31.1125782973608;9.37685549925043
22510;31.3153969092553;9.56865144471754
22541;31.4716693544557;9.71178100597248
22577;31.5772735875032;9.80463819606177
22611;31.6339945038486;9.85219868848397
22639;31.6538906536264;9.86718856882581
22677;31.6531264140266;9.86449783225303
22714;31.6445997012046;9.85551682423476
22752;31.6356238478653;9.84651110138112
22785;31.628988562937;9.83975939365857
22809;31.6248877854647;9.83532296426309
22843;31.6225078746868;9.83244307653749
22876;31.6209525813924;9.83032246502422
22899;31.6196093883204;9.82841782748734
22949;31.6181829644948;9.82645994996168
22979;31.6165958743659;9.82436956788935
23016;31.6148778858821;9.82216223751807
23067;31.6130900207835;9.81988082016987
23088;31.6112860102421;9.81756154379195
23127;31.609497608203;9.81522450487808
23159;31.6077287096695;9.81287603624867
23186;31.6059490788794;9.81051417845744
23225;31.6040878665623;9.808135530628
23270;31.6020379729542;9.80574548073744
23277;31.5996931522818;9.80337236154207
23306;31.5970460893196;9.80108156433993
23332;31.5943656249008;9.79897814604913
23375;31.5924265560875;9.79717632595066
23412;31.59266771998;9.79570671112689
23436;31.5970026074452;9.79433920057122
23481;31.6068481529871;9.79234035031538
23509;31.6209066914457;9.78827927280232
23540;31.6334718822378;9.78015158349226
23578;31.6377041504805;9.76626556581219
23612;31.6333234837828;9.74739798668643
23638;31.6321918621502;9.73042094725454
23673;31.6590953907603;9.73256035930416
23712;31.7475166661607;9.78160972847331
23734;31.9289654049124;9.90537239322197
23780;32.2209235804038;10.1159160040741
23807;32.6217347559981;10.4060143350473
23846;33.1142997550268;10.7600283225584
23867;33.6762786222082;11.1636609073404
23917;34.2896453214086;11.605427657882
23947;34.9409654132305;12.0760589092647
23965;35.616630417818;12.570420563844
24015;36.3041265130948;13.0883926395021
24034;36.9970796668755;13.6310288481545
24083;37.6950226630219;14.196547848465
24109;38.3999039179744;14.7810929656178
24141;39.1142879998733;15.3807915419978
24176;39.8392719555957;15.9916328630758
24200;40.5718763877483;16.609954284105
24244;41.3061618618891;17.2346821594283
24279;42.0385367159666;17.8685533089048
24318;42.7714781299735;18.5167821582857
24340;43.5099906202107;19.1844296465119
24383;44.2551523464032;19.8748509930594
24416;45.0046783419129;20.5877967851023
24448;45.7562347412363;21.3166513509686
24482;46.5053295874512;22.0512517323724
24498;47.2461060927275;22.7857582109312
24546;47.9782913773359;23.5216271834709
24580;48.7077343521569;24.2633443513353
24615;49.4388945528824;25.0132519402603
24659;50.1704093658123;25.7705879430882
24697;50.896867299154;26.5340652535431
24715;51.613049608524;27.3038833324273
24741;52.3176453571456;28.0809399424814
24786;53.013317092802;28.86540708246
24810;53.7036422835002;29.6572023913566
24848;54.3906245790735;30.4561211787185
24878;55.0736053700975;31.26113626215
24920;55.7492842600895;32.0711255119047
24948;56.414027008985;32.885631494768
24982;57.0670322051995;33.7040860048089
25006;57.7097702445787;34.5256769478256
25034;58.34393660808;35.3516390081729
25079;58.9727829950121;36.1856190112859
25108;59.5994596084556;37.0298647871734
25145;60.221232689934;37.8827490840112
25180;60.8307692554002;38.739311841077
25208;61.4227372985528;39.593356892301
25242;61.9955959991333;40.4423701981253
25270;62.5506937400998;41.2906800857741
25320;63.0932188389547;42.1452103744573
25345;63.6298642168677;43.0087688576239
25380;64.1616726949712;43.877577601333
25418;64.6834064735267;44.7445168448329
25451;65.191431846498;45.6047193775754
25476;65.6864252713863;46.4569685907978
25513;66.1696493806817;47.3004842539824
25545;66.6430346161625;48.1341847478585
25583;67.1104165296579;48.9606494736665
25613;67.5736283718004;49.7865228823412
25648;68.0293578192757;50.6167090036794
25679;68.4720958049946;51.4510644507469
25717;68.8993350328941;52.2864306580317
25746;69.3123043759782;53.1196085086291
25776;69.7108779912749;53.949416758963
25799;70.0907679236182;54.7766690653078
25840;70.4476712181172;55.6011074592125
25874;70.7813104607302;56.4195582701547
25914;71.0939286058277;57.2272510988803
25937;71.3875198631254;58.0187838650215
25972;71.6636407925294;58.7900956268756
26018;71.9230241434551;59.5411981051726
26043;72.1645540755016;60.2765758535819
26077;72.3878083742249;61.0049342827879
26107;72.5971048251402;61.7350977441702
26152;72.7983717882957;62.4684162817308
26180;72.9921688570952;63.1980660258686
26206;73.1743492393087;63.9144146113165
26232;73.3398549338297;64.6095751675442
26285;73.4840724588322;65.2815821066038
26312;73.6070144998926;65.9358254511244
26350;73.7150875181462;66.5800898664236
26387;73.814478660994;67.2188649007284
26419;73.9054100372286;67.8538032971701
26447;73.9821422399942;68.4844178527892
26477;74.0346614412818;69.1039714935475
26510;74.0533116492646;69.7015898017453
26544;74.0363565384725;70.2723439367871
26586;73.9924722467321;70.8187634306038
26611;73.9327326653945;71.3434505532506
26639;73.8609391456989;71.8477221606195
26667;73.774503090241;72.3352795704725
26707;73.6702130346482;72.8114156623581
26732;73.5465045773215;73.2790243249968
26778;73.4051006217935;73.7367419283906
26826;73.2503342424049;74.1805165338332
26852;73.0833395609801;74.6064728275306
26882;72.9005823141199;75.0116501581755
26914;72.7010985831281;75.3938605503442
26946;72.4886048008608;75.753824759261
26983;72.2642489513402;76.0959262745118
27008;72.0238204323927;76.4235160996086
27050;71.7634433593073;76.7343597964466
27082;71.4841686136268;77.0235995822121
27107;71.1897944910322;77.290163243566
27147;70.8821511911837;77.5368559707793
27179;70.5601107107799;77.7644181641542
27213;70.2217832053051;77.9701403427776
27245;69.865040679091;78.1531903712653
27280;69.4866827550364;78.3163175117344
27318;69.0834927467802;78.4617616725158
27347;68.6543728172643;78.5889662857636
27373;68.2021510855829;78.6958000905737
27406;67.732805522127;78.7797668916625
27449;67.2516390119625;78.8398994441967
27482;66.761612034524;78.8795992753242
27515;66.2639919251473;78.9041077549476
27541;65.7579984070652;78.9140182244119
27583;65.2417307784219;78.9042918704348
27610;64.714543731409;78.8687687727101
27649;64.1763603925451;78.8049224959838
27675;63.6261716445819;78.7157916943367
27711;63.0644958189105;78.6077611036852
27743;62.4936951893386;78.4858262518886
27776;61.9138377335313;78.3489487525293
27808;61.3221961709044;78.1908231205494
27841;60.716119643493;78.0063170086365
27880;60.095564277583;77.7941672908913
27908;59.4642788391566;77.5551532651495
27933;58.8254002782896;77.2928186435699
27984;58.1766121736863;77.0144177258834
28009;57.5150382140494;76.7265197374069
28034;56.8439960157093;76.4297764993734
28069;56.1688511199201;76.1199427914817
28108;55.489374098838;75.7924174630377
28144;54.8007208705977;75.4445698440322
28172;54.099315322518;75.0752916169443
28199;53.3860311283086;74.6849470678792
28247;52.6652214868574;74.2758960196257
28277;51.941490117044;73.849316458226
28313;51.2172077262391;73.4024741230487
28351;50.4917850488801;72.9324922987327
28383;49.7622949729608;72.4402771894462
28416;49.0251313387705;71.9288677104346
28444;48.2766607353778;71.400616780093
28482;47.5121817838514;70.8568138029238
28510;46.7293159294449;70.2970911857038
28554;45.9349643234652;69.7182915320825
28582;45.1434380045862;69.1169693873921
28623;44.3679395331883;68.4961124649567
28666;43.6178578181235;67.8700666462624
28699;42.9017178914125;67.2616711970969
28730;42.2303743929277;66.6938133873171
28757;41.6172759875666;66.1823512809328
28794;41.0745054337562;65.73229087343
28824;40.6073872829927;65.3368811552681
28858;40.212673508811;64.9832120345213
28879;39.8822823995895;64.6635221209029
28912;39.6084272605305;64.3831840620342
28936;39.3860623991015;64.1578318872192
28983;39.2131263871546;64.0005688803025
29009;39.0899661425771;63.910880981172
29051;39.0166951529373;63.8753965169902
29081;38.9871535254702;63.8746645557972
29109;38.9863938937296;63.8889174747792
29146;38.9976401678953;63.9038316397571
29175;39.009873004247;63.9133109499266
29221;39.0181381057994;63.9170234095368
29247;39.0203949896349;63.9168291351728
29291;39.0151796615299;63.914741433409
29312;39.0011244156588;63.9121409628514
29350;38.9788907516995;63.9097092768423
29386;38.9535297989247;63.9076421876518
29421;38.9324737130397;63.9058885640097
29445;38.9200749430753;63.9043164544436
29487;38.9157126811023;63.9027989602609
29528;38.9164002729394;63.9012470412931
29558;38.9193203672882;63.8996183018231
29589;38.922685650527;63.8979123586786
29618;38.9256962569285;63.8961533743949
29646;38.9281844575417;63.8943712240571
29680;38.9302697885428;63.8925930671843
29715;38.9321372454331;63.8908428775476
29744;38.9339357416033;63.8891402713673
29784;38.9357529661403;63.8874914314071
29818;38.9376223980888;63.8858678530298
29838;38.9395331936521;63.8841744317166
29883;38.9414304782642;63.8822206232146
29905;38.9432092054706;63.8797309904282
29946;38.9447204630526;63.8764590479897
29984;38.945823754787;63.8724776330965
30014;38.9465261800089;63.8686758890463
30045;38.9472342277914;63.8673549546807
30102;38.9490768081064;63.8725361788615
30123;38.9541129600307;63.8891852151626
30176;38.9650213450945;63.9201726578921
30183;38.9836539834049;63.9620437912012
30212;39.007820827802;64.0037352603787
30248;39.0262252025862;64.0273773045359
30277;39.0130802486173;64.0058757423711
30311;38.9269423489989;63.9012728656577
30335;38.7203925575917;63.6732173632873
30379;38.3601621549927;63.2941655741605
30418;37.8426658092143;62.7589709931078
30453;37.1905729170626;62.0853618871861
30488;36.4369348052795;61.3067746904492
30512;35.6127296160809;60.4577211753765
30550;34.7410436223697;59.562289802141
30588;33.8347631347766;58.6349702418874
30618;32.8990054675525;57.6858203911419
30652;31.9361598258077;56.7223990757343
30688;30.9489965112273;55.7488671321312
30707;29.9424939342906;54.7640359169139
30750;28.9235642388864;53.7615460764614
30789;27.8970232491893;52.7345562586516
30811;26.8637115805852;51.6821069963711
30849;25.8236026447094;50.6103144427979
30882;24.7776780111231;49.5287136247025
30911;23.726426235175;48.4467161009303
30945;22.6686292742855;47.369867224622
30981;21.6022975721356;46.2972563126535
31021;20.5261150238499;45.2224235639118
31051;19.4399835108144;44.1377766261871
31087;18.3466289124097;43.0416648658806
31109;17.2517068012768;41.9395400655338
31152;16.1581967864122;40.8362141220412
31193;15.0626751580706;39.7329896208292
31216;13.9603635604325;38.6322274431041
31249;12.8506936177678;37.5358678165697
31272;11.7367242819364;36.4393850849195
31311;10.6232642090537;35.3337637642235
31339;9.51463858497803;34.214523305429
31386;8.41067059955938;33.0868750490294
31410;7.30611521698451;31.9619156671718
31451;6.19513845203297;30.84730635362
31475;5.0757049837663;29.7403218033518
31511;3.94984952113207;28.6315898827195
31546;2.82082096463081;27.5155566642661
31580;1.6906602485007;26.3930534151272
31598;0.559398605372475;25.2654042459508
31635;-0.574683782124756;24.1325100956359
